"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" sorvete"," pãezinhos/pãezinhos"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," bagas"," vegetais de raiz"," outros vegetais"," água engarrafada"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," citrino"," outros vegetais"," coalhada"," sobremesa"," Soro de leite coalhado"," bebidas"," Requeijão cremoso"," pãezinhos/pãezinhos"," pão integral"," chá"," água engarrafada","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," mostarda"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne bovina"," bebidas"," queijo fatiado"," pãezinhos/pãezinhos"," especiarias"," produtos para manutenção da casa"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," vegetais de raiz"," manteiga"," coalhada"," queijo fatiado"," pãezinhos/pãezinhos"," lanche salgado"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," outros vegetais"," manteiga"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," bebidas"," Produtos alimentares instantâneos"," legumes em conserva"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," ervas"," outros vegetais"," leite inteiro"," queijo fatiado"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," chantilly/creme de leite"," pão semiacabado"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," leite inteiro"," coalhada"," sobremesa"," iogurte"," chantilly/creme de leite"," sobremesa congelada"," pãezinhos/pãezinhos"," sal"," açúcar"," cereais"," vegetais enlatados"," peixe enlatado"," cuidados com a pele"," artigos de higiene"," guardanapos","","","","","","","","","","","","","","","",""
" citrino"," coalhada"," pastelaria"," Margarina"," açúcar"," doce"," jornais","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," água engarrafada","refrigerante"," diversos. bebidas"," cerveja engarrafada"," vinho tinto/blush"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," leite inteiro"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," óleo"," artigos de higiene"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne bovina"," carne de hambúrguer"," uvas"," vegetais de raiz"," leite inteiro"," manteiga"," sobremesa congelada"," produtos de batata"," água engarrafada"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","",""
" queijo duro"," pãezinhos/pãezinhos"," água engarrafada"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Requeijão cremoso"," pãezinhos/pãezinhos","refrigerante"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" peru"," carne bovina"," vegetais congelados"," pratos"," foto/filme","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," outros vegetais"," chantilly/creme de leite"," pãezinhos/pãezinhos","refrigerante"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," fruta pipa"," leite inteiro"," coalhada"," iogurte"," queijo fatiado"," pãezinhos/pãezinhos"," água engarrafada"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" licor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," outros vegetais"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," citrino"," fruta tropical"," outros vegetais"," leite inteiro"," iogurte"," pãezinhos/pãezinhos"," água engarrafada","refrigerante"," chocolate"," jornais","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," leite inteiro"," clínica de cuidado de animais domésticos"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," bagas"," vegetais de raiz"," outros vegetais"," pastelaria"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" legumes em conserva"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," manteiga"," chantilly/creme de leite"," pãezinhos/pãezinhos"," Margarina"," especiarias","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," cebola"," outros vegetais"," leite inteiro"," ovos domésticos"," açúcar"," sopas"," chá","refrigerante"," artigos de higiene"," guardanapos","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," citrino"," bagas"," vegetais de raiz"," leite inteiro","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos"," água engarrafada"," suco de frutas/vegetais"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," Margarina"," rum","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," ervas"," leite inteiro"," Soro de leite coalhado"," chantilly/creme de leite"," farinha"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta pipa"," vegetais de raiz"," outros vegetais"," leite inteiro"," Requeijão cremoso"," ovos domésticos"," pão integral"," Margarina"," fermento em pó"," waffles","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," outros vegetais"," leite inteiro"," coalhada"," iogurte"," pãezinhos/pãezinhos"," pastelaria"," pão semiacabado"," Margarina"," água engarrafada"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","",""
" frango"," fruta pipa"," outros vegetais"," leite inteiro"," sobremesa"," iogurte"," chantilly/creme de leite"," pãezinhos/pãezinhos"," massa","refrigerante"," waffles","","","","","","","","","","","","","","","","","","","","",""
" frango"," citrino"," fruta tropical"," vegetais de raiz"," leite inteiro"," peixe congelado"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," citrino"," cebola"," outros vegetais"," leite inteiro"," pãezinhos/pãezinhos"," açúcar","refrigerante","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" peru"," fruta pipa"," molho de salada"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados"," leite inteiro"," coalhada"," iogurte"," ovos domésticos"," pão integral"," mostarda"," legumes em conserva"," água engarrafada"," diversos. bebidas","","","","","","","","","","","","","","","","","","","","","",""
" massa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," iogurte"," pãezinhos/pãezinhos"," pão integral"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," Refeições congeladas"," pastelaria"," suco de frutas/vegetais"," waffles","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," açúcar"," molhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" licor (aperitivo)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," outros vegetais"," pãezinhos/pãezinhos"," lanche salgado"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," outros vegetais"," leite inteiro"," vinagre"," óleo"," água engarrafada"," cerveja em lata"," guardanapos"," jornais","","","","","","","","","","","","","","","","","","","","","","",""
